Country/Territory,IMF[4][5],IMF[4][5],World Bank[6],World Bank[6],United Nations[7],United Nations[7]
Bosnia and Herzegovina,"8,221",2024,"8,426",2023,"7,569",2022
Belize,"8,133",2024,"7,988",2023,"6,984",2022
Equatorial Guinea,"8,102",2024,"7,067",2023,"7,026",2022
Belarus,"8,008",2024,"7,829",2023,"7,643",2022
Colombia,"7,917",2024,"6,980",2023,"6,630",2022
Suriname,"7,600",2024,"6,069",2023,"5,859",2022
Thailand,"7,527",2024,"7,172",2023,"6,909",2022
Jamaica,"7,487",2024,"6,874",2023,"6,047",2022
Azerbaijan,"7,381",2024,"7,155",2023,"7,600",2022
Moldova,"7,368",[n 7]2024,"6,651",[n 7]2023,"4,433",[n 7]2022
Botswana,"7,341",2024,"7,250",2023,"7,738",2022
Tuvalu,"7,190",2024,"5,465",2023,"5,219",2022
Marshall Islands,"6,850",2024,"6,762",2023,"6,728",2022
Ecuador,"6,758",2024,"6,533",2023,"6,391",2022
Mongolia,"6,666",2024,"5,765",2023,"5,046",2022
Libya,"6,482",2024,"7,330",2023,"5,951",2022
South Africa,"6,377",2024,"6,253",2023,"6,766",2022
Kosovo,"6,334",2024,"5,943",2023,"5,662",2022
Guatemala,"6,295",2024,"5,797",2023,"5,324",2022
Fiji,"6,257",2024,"5,868",2023,"5,356",2022
Iraq,"5,947",2024,"5,512",2023,"5,937",2022
Paraguay,"5,869",2024,"6,260",2023,"6,153",2022
El Salvador,"5,607",2024,"5,344",2023,"5,127",2022
Algeria,"5,579",2024,"5,260",2023,"4,274",2022
Ukraine,"5,505",[n 8]2024,"5,181",[n 8]2023,"4,043",[n 8]2022
Iran,"5,300",2025,"4,502",2023,"4,495",2022
Micronesia,"5,120",2024,"3,992",2023,"4,105",2022
Samoa,"5,048",2024,"4,139",2023,"3,855",2022
Indonesia,"4,981",2024,"4,940",2023,"4,788",2022
Tonga,"4,858",2024,"4,682",2022,"4,571",2022
Cape Verde,"4,790",2025,"4,322",2023,"3,903",2022
Jordan,"4,682",2024,"4,482",2023,"4,205",2022
Vietnam,"4,649",2024,"4,347",2023,"4,164",2022
Lebanon,"4,487",2023,"3,350",2023,"7,159",2022
Namibia,"4,410",2024,"4,743",2023,"4,911",2022
Eswatini,"4,375",2024,"3,797",2023,"3,601",2022
Tunisia,"4,267",2024,"3,895",2023,"3,738",2022
Morocco,"4,204",2024,"3,672",2023,"3,495",2022
Djibouti,"4,155",2024,"3,606",2023,"3,348",2022
Philippines,"4,154",2024,"3,726",2023,"3,499",2022
Bhutan,"4,068",2024,"3,704",2022,"3,704",2022
Venezuela,"4,019",2024,"15,976",2014,"4,569",2022
Bolivia,"3,920",2024,"3,701",2023,"3,600",2022
Sri Lanka,"3,330",2022,"3,828",2023,"3,490",2022
Egypt,"3,542",2024,"3,513",2023,"3,688",2022
Honduras,"3,446",2024,"3,247",2023,"3,040",2022
São Tomé and Príncipe,"3,425",2024,"2,602",2023,"2,405",2022
Vanuatu,"3,387",2024,"3,367",2023,"3,015",2022
Palestine,"3,181",[n 9]2023,"3,368",[n 9]2023,"3,640",[n 10]2022
Uzbekistan,"3,051",2024,"2,496",2023,"2,322",2022
Angola,"2,961",2024,"2,309",2023,"3,184",2022
Nicaragua,"2,878",2024,"2,530",2023,"2,255",2022
Cambodia,"2,744",2024,"1,875",2023,"1,588",2022
Ivory Coast,"2,720",2024,"2,729",2023,"2,486",2022
India,"2,698",2024,"2,485",2023,"2,445",2022
Bangladesh,"2,625",2024,"2,529",2023,"2,528",2022
Papua New Guinea,"2,544",2024,"2,994",2023,"3,117",2022
Kiribati,"2,455",2024,"2,090",2023,"1,704",2022
Congo,"2,384",2024,"2,509",2023,"2,570",2022
Mauritania,"2,376",2024,"2,149",2023,"2,322",2022
Ghana,"2,232",2024,"2,238",2023,"2,204",2022
Kyrgyzstan,"2,229",2024,"1,970",2023,"1,649",2022
Kenya,"2,218",2024,"1,950",2023,"2,099",2022
Solomon Islands,"2,209",2024,"2,203",2023,"2,205",2022
Haiti,"2,120",2024,"1,693",2023,"1,619",2022
Zimbabwe,"2,114",2024,"1,592",2023,"1,619",2022
Laos,"1,945",2024,"2,075",2023,"2,040",2022
Cameroon,"1,821",2024,"1,674",2023,"1,588",2022
Senegal,"1,805",2024,"1,746",2023,"1,604",2022
Guinea,"1,652",2024,"1,664",2023,"1,504",2022
Comoros,"1,630",2024,"1,587",2023,"1,490",2022
Pakistan,"1,588",2024,"1,407",2023,"1,386",2022
Benin,"1,510",2024,"1,435",2023,"1,303",2022
East Timor,"1,454",2024,"1,648",2023,"2,389",2022
Nepal,"1,381",2024,"1,324",2023,"1,290",2022
Ethiopia,"1,350",2024,"1,294",2023,964,2022
Tajikistan,"1,276",2024,"1,189",2023,"1,054",2022
Zambia,"1,226",2024,"1,369",2023,"1,456",2022
Tanzania,"1,224",2024,"1,211",2023,"1,154",[n 11]2022
Zanzibar,—,—,"1,192",2022,"1,339",2022
Uganda,"1,187",2024,"1,014",2023,"1,021",2022
Myanmar,"1,179",2024,"1,188",2023,"1,204",2022
Guinea-Bissau,"1,106",2024,914,2023,748,2022
Lesotho,"1,062",2024,878,2023,992,2022
Togo,"1,051",2024,"1,013",2023,914,2022
Chad,"1,013",2024,719,2023,948,2022
Gambia,989,2024,844,2023,825,2022
Rwanda,986,2024,"1,000",2023,966,2022
Burkina Faso,908,2024,874,2023,846,2022
Mali,898,2024,897,2023,833,2022
Nigeria,877,2024,"1,621",2023,"2,174",2022
Sierra Leone,856,2024,433,2023,405,2022
Liberia,855,2024,799,2023,616,2022
Syria,—,—,421,2021,840,2022
Somalia,771,2024,644,2023,592,2022
DR Congo,702,2024,649,2023,588,2022
Niger,698,2024,618,2023,591,2022
Eritrea,—,—,644,2011,647,2022
Mozambique,645,2024,608,2023,558,2022
Sudan,606,2024,"2,272",2023,784,2022
North Korea,—,—,—,—,590,2022
Madagascar,563,2024,529,2023,505,2022
Central African Republic,529,2024,445,2023,429,2022
Yemen,465,2024,533,2023,327,2022
Malawi,464,2024,673,2023,615,2022
Afghanistan,411,2023,353,2022,345,2022
South Sudan,341,2024,"1,072",2015,423,2022
Burundi,321,2024,200,2023,313,2022
