Country,Region,Value,Trend,Rank 2024
Czech Republic,Europe & Central Asia,65.5,0.4,16
Germany,Europe & Central Asia,74.5,4.3,3
Djibouti,Middle East & North Africa,32.3,0.2,141
Dominica,Latin America & Caribbean,49.3,−0.2,58
Denmark,Europe & Central Asia,67.7,−0.3,10
Dominican Republic,Latin America & Caribbean,47.7,−1.1,66
Algeria,Middle East & North Africa,41.7,3.2,98
Ecuador,Latin America & Caribbean,51.3,7.0,49
Egypt,Middle East & North Africa,43.7,3.5,87
Eritrea,Sub-Saharan Africa,29,−0.3,147
Spain,Europe & Central Asia,64,2.2,21
Estonia,Europe & Central Asia,75.7,14.9,1
Ethiopia,Sub-Saharan Africa,36.3,3.8,125
Finland,Europe & Central Asia,73.8,3.1,4
Fiji,East Asia & Pacific,46,−2.4,75
France,Europe & Central Asia,67,1.6,12
Federated States of Micronesia,East Asia & Pacific,40.8,0.3,101
Gabon,Sub-Saharan Africa,53.3,7.3,42
United Kingdom,Europe & Central Asia,72.6,1.3,5
Georgia,Europe & Central Asia,47.3,6.2,68
Ghana,Sub-Saharan Africa,36.9,1.8,122
Guinea,Sub-Saharan Africa,36.5,−2.9,123
Gambia,Sub-Saharan Africa,37.6,0.6,120
Guinea-Bissau,Sub-Saharan Africa,42,−0.5,96
Equatorial Guinea,Sub-Saharan Africa,41.7,−3.3,98
Greece,Europe & Central Asia,67.3,8.9,11
Grenada,Latin America & Caribbean,45.8,0.4,76
Guatemala,Latin America & Caribbean,32.5,−2.8,140
Guyana,Latin America & Caribbean,49,2.3,60
Honduras,Latin America & Caribbean,40.2,2.9,105
Croatia,Europe & Central Asia,62.3,4.9,24
Haiti,Latin America & Caribbean,36.4,7.7,124
Hungary,Europe & Central Asia,59.8,−1.3,30
Indonesia,East Asia & Pacific,33.6,5.8,137
India,South Asia,27.6,4.2,149
Ireland,Europe & Central Asia,65.8,2.8,15
Iran,Middle East & North Africa,41.8,0.0,97
Iraq,Middle East & North Africa,30.3,6.4,145
Iceland,Europe & Central Asia,64.3,2.5,18
Israel,Middle East & North Africa,48,0.6,63
Italy,Europe & Central Asia,60.3,4.8,28
Jamaica,Latin America & Caribbean,48.5,1.0,61
Jordan,Middle East & North Africa,47.3,10.1,68
Japan,East Asia & Pacific,61.4,4.2,26
Kazakhstan,Europe & Central Asia,47.8,4.0,65
Kenya,Sub-Saharan Africa,36.9,−0.2,122
Kyrgyzstan,Europe & Central Asia,42.8,13.0,91
Cambodia,East Asia & Pacific,31.2,0.0,143
Kiribati,East Asia & Pacific,44.3,−1.1,82
South Korea,East Asia & Pacific,50.6,4.9,51
Kuwait,Middle East & North Africa,44.4,−1.8,81
Laos,East Asia & Pacific,26.3,2.0,151
Lebanon,Middle East & North Africa,39.9,7.9,108
Liberia,Sub-Saharan Africa,34.3,1.3,135
Saint Lucia,Latin America & Caribbean,51.1,2.1,50
Sri Lanka,South Asia,38.8,1.8,112
Lesotho,Sub-Saharan Africa,36.9,0.1,122
Lithuania,Europe & Central Asia,64.1,4.6,20
Luxembourg,Europe & Central Asia,75.1,3.4,2
Latvia,Europe & Central Asia,60.2,1.2,29
Morocco,Middle East & North Africa,39.5,2.6,109
Moldova,Europe & Central Asia,46.1,2.8,74
Madagascar,Sub-Saharan Africa,30.1,0.8,146
Maldives,South Asia,38.1,2.8,116
Mexico,Latin America & Caribbean,44.2,2.2,83
Marshall Islands,East Asia & Pacific,42.5,0.8,94
North Macedonia,Europe & Central Asia,50.3,1.2,52
Mali,Sub-Saharan Africa,34.5,−3.3,134
Malta,Middle East & North Africa,66.9,4.7,13
Myanmar,East Asia & Pacific,27.1,−1.4,150
Montenegro,Europe & Central Asia,47.7,−0.5,66
Mongolia,East Asia & Pacific,37.2,5.4,121
Mozambique,Sub-Saharan Africa,39,5.2,111
Mauritania,Sub-Saharan Africa,34.6,−3.5,133
Mauritius,Sub-Saharan Africa,47.3,2.9,68
Malawi,Sub-Saharan Africa,35.1,−6.7,132
Malaysia,East Asia & Pacific,41,7.3,100
Namibia,Sub-Saharan Africa,44,−0.1,85
Niger,Sub-Saharan Africa,40,7.3,107
Nigeria,Sub-Saharan Africa,37.9,4.7,118
Nicaragua,Latin America & Caribbean,47.4,1.2,67
Netherlands,Europe & Central Asia,66.9,4.4,13
Norway,Europe & Central Asia,69.9,3.3,7
Nepal,South Asia,33.1,0.7,139
New Zealand,East Asia & Pacific,57.3,1.1,32
Oman,Middle East & North Africa,51.3,12.9,49
Pakistan,South Asia,25.5,−4.0,152
Panama,Latin America & Caribbean,52.9,5.2,45
Peru,Latin America & Caribbean,46.5,3.9,73
Philippines,East Asia & Pacific,32.1,0.4,142
Papua New Guinea,East Asia & Pacific,36.9,−3.6,122
Poland,Europe & Central Asia,64.2,1.8,19
Portugal,Europe & Central Asia,61.9,4.1,25
Paraguay,Latin America & Caribbean,39.5,0.7,109
Qatar,Middle East & North Africa,46.8,5.6,71
Romania,Europe & Central Asia,57.3,−3.1,32
Russia,Europe & Central Asia,46.7,−0.1,72
Rwanda,Sub-Saharan Africa,33.9,−0.3,136
Saudi Arabia,Middle East & North Africa,42.5,9.5,94
Sudan,Sub-Saharan Africa,39.1,3.9,110
Senegal,Sub-Saharan Africa,43.8,4.8,86
Singapore,East Asia & Pacific,53,6.5,44
Solomon Islands,East Asia & Pacific,42.2,1.6,95
Sierra Leone,Sub-Saharan Africa,39.9,5.3,108
El Salvador,Latin America & Caribbean,41.6,−4.4,99
Serbia,Europe & Central Asia,49.8,−5.6,55
São Tomé and Príncipe,Sub-Saharan Africa,36.2,1.8,126
Suriname,Latin America & Caribbean,56.9,8.6,34
Slovakia,Europe & Central Asia,65.1,−1.6,17
Slovenia,Europe & Central Asia,62.4,0.0,23
Sweden,Europe & Central Asia,70.3,0.2,6
Eswatini,Sub-Saharan Africa,38.7,−2.4,113
Seychelles,Sub-Saharan Africa,47.9,−3.9,64
Chad,Sub-Saharan Africa,35.9,2.0,127
Togo,Sub-Saharan Africa,35.7,−1.1,129
Thailand,East Asia & Pacific,45.7,4.5,77
Tajikistan,Europe & Central Asia,32.3,−4.2,141
Turkmenistan,Europe & Central Asia,40.6,4.9,102
Timor-Leste,East Asia & Pacific,49.9,9.6,54
Tonga,East Asia & Pacific,40.4,−7.3,104
Trinidad and Tobago,Latin America & Caribbean,52.5,1.0,46
Tunisia,Middle East & North Africa,45.3,0.5,78
Taiwan,East Asia & Pacific,50.1,−0.1,53
Tanzania,Sub-Saharan Africa,43.6,5.6,88
Uganda,Sub-Saharan Africa,35.8,4.2,128
Ukraine,Europe & Central Asia,54.6,7.3,39
Uruguay,Latin America & Caribbean,44.1,0.5,84
United States,North America,57.2,0.2,33
Uzbekistan,Europe & Central Asia,42.6,−1.3,93
Saint Vincent and the Grenadines,Latin America & Caribbean,54.2,0.8,40
Venezuela,Latin America & Caribbean,53.3,1.1,42
Vietnam,East Asia & Pacific,24.6,−3.7,153
Vanuatu,East Asia & Pacific,45,9.3,79
Samoa,East Asia & Pacific,47.1,6.0,69
South Africa,Sub-Saharan Africa,42.7,4.4,92
Zambia,Sub-Saharan Africa,46.7,3.9,72
Zimbabwe,Sub-Saharan Africa,51.6,9.5,48
